bounded 12 12
Fish 0 0 West
Fish 0 1 North
Fish 0 3 North
Fish 0 4 East
Fish 0 5 South
Fish 0 6 East
Fish 0 7 East
Fish 0 8 North
Fish 0 10 East
Fish 1 1 North
Fish 1 2 South
Fish 1 3 West
Fish 1 4 North
Fish 1 5 West
Fish 1 7 East
Fish 1 9 East
Fish 1 11 East
Fish 2 0 North
Fish 2 1 North
Fish 2 3 East
Fish 2 4 West
Fish 2 6 East
Fish 2 9 North
Fish 2 10 North
Fish 3 0 North
Fish 3 1 West
Fish 3 2 West
Fish 3 3 West
Fish 3 5 West
Fish 3 7 South
Fish 3 9 West
Fish 3 10 North
Fish 3 11 West
Fish 4 0 West
Fish 4 1 West
Fish 4 4 East
Fish 4 6 West
Fish 4 10 East
Fish 5 3 West
Fish 5 5 South
Fish 5 7 North
Fish 6 2 South
Fish 6 8 West
Fish 7 7 West
Fish 7 9 North
Fish 8 11 East
Fish 9 5 West
Fish 9 9 North
Fish 10 4 West
Fish 11 3 West
Fish 11 4 West
Fish 11 7 East
Fish 11 11 East
